,tokens,labels
0,"['Winston', 'Smith', ',', 'his', 'chin', 'nuzzled', 'into', 'his', 'breast', 'in', 'an', 'effort', 'to', 'escape', 'the', 'vile', 'wind', ',', 'slipped', 'quickly', 'through', 'the', 'glass', 'doors', 'of', 'Victory', 'Mansions', ',', 'though', 'not', 'quickly', 'enough', 'to', 'prevent', 'a', 'swirl', 'of', 'gritty', 'dust', 'from', 'entering', 'along', 'with', 'him', '.']","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"['The', 'hallway', 'smelt', 'of', 'boiled', 'cabbage', 'and', 'old', 'rag', 'mats', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"['At', 'one', 'end', 'of', 'it', 'a', 'coloured', 'poster', ',', 'too', 'large', 'for', 'indoor', 'display', ',', 'had', 'been', 'tacked', 'to', 'the', 'wall', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"['It', 'depicted', 'simply', 'an', 'enormous', 'face', ',', 'more', 'than', 'a', 'metre', 'wide', ':', 'the', 'face', 'of', 'a', 'man', 'of', 'about', 'forty-five', ',', 'with', 'a', 'heavy', 'black', 'moustache', 'and', 'ruggedly', 'handsome', 'features', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"['Winston', 'made', 'for', 'the', 'stairs', '.']","[1, 0, 0, 0, 0, 0]"
5,"['It', 'was', 'no', 'use', 'trying', 'the', 'lift', '.']","[0, 0, 0, 0, 0, 0, 0, 0]"
6,"['Even', 'at', 'the', 'best', 'of', 'times', 'it', 'was', 'seldom', 'working', ',', 'and', 'at', 'present', 'the', 'electric', 'current', 'was', 'cut', 'off', 'during', 'daylight', 'hours', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"['It', 'was', 'part', 'of', 'the', 'economy', 'drive', 'in', 'preparation', 'for', 'Hate', 'Week', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,"['The', 'flat', 'was', 'seven', 'flights', 'up', ',', 'and', 'Winston', ',', 'who', 'was', 'thirty-nine', 'and', 'had', 'a', 'varicose', 'ulcer', 'above', 'his', 'right', 'ankle', ',', 'went', 'slowly', ',', 'resting', 'several', 'times', 'on', 'the', 'way', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,"['On', 'each', 'landing', ',', 'opposite', 'the', 'lift-shaft', ',', 'the', 'poster', 'with', 'the', 'enormous', 'face', 'gazed', 'from', 'the', 'wall', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
